"id","contraste","termos","estimativa","erro_padrao","p_valor","efeito_percentual_aprox","ic95_inf","ic95_sup","dv"
"preto_informal_privado","preto vs. branco, informal, privado/doméstico","factor(raca_grupo)preto",-0.0706362351534124,0.0403355324056514,0.0799086872307784,-6.81992131448587,-13.9028502170453,0.845696817219754,"ln_renda_mensal_real"
"preto_formal_privado","preto vs. branco, formal, privado/doméstico","factor(raca_grupo)preto + formal:factor(raca_grupo)preto",-0.0344491561031307,0.0299658823715259,0.2503034640569,-3.38625393688592,-8.89725819757624,2.45812303422417,"ln_renda_mensal_real"
"preto_informal_publico","preto vs. branco, informal, público","factor(raca_grupo)preto + factor(raca_grupo)preto:setor_publico",-0.255105111197402,0.0531679945279328,1.60181467578902e-06,-22.5164950159276,-30.1845169398415,-14.0062736593326,"ln_renda_mensal_real"
"preto_formal_publico","preto vs. branco, formal, público","factor(raca_grupo)preto + formal:factor(raca_grupo)preto + factor(raca_grupo)preto:setor_publico",-0.21891803214712,0.0427523677134265,3.04555309416088e-07,-19.661243259124,-26.1188653576426,-12.6391890715594,"ln_renda_mensal_real"
"preto_diferenca_publico_privado","Diferença do gap de preto (público - privado)","factor(raca_grupo)preto:setor_publico",-0.184468876043989,0.0393659943327144,2.78602254888405e-06,-16.8454179507813,-23.020129850033,-10.1754198557426,"ln_renda_mensal_real"
"pardo_informal_privado","pardo vs. branco, informal, privado/doméstico","factor(raca_grupo)pardo",-0.0752957320928051,0.028734622605308,0.00878309238066999,-7.25308366291949,-12.332206802483,-1.87969633663541,"ln_renda_mensal_real"
"pardo_formal_privado","pardo vs. branco, formal, privado/doméstico","factor(raca_grupo)pardo + formal:factor(raca_grupo)pardo",-0.0520219330153679,0.0201957241012125,0.00999828883829634,-5.06919545733969,-8.75350016682176,-1.23612776826797,"ln_renda_mensal_real"
"pardo_informal_publico","pardo vs. branco, informal, público","factor(raca_grupo)pardo + factor(raca_grupo)pardo:setor_publico",-0.208820127123078,0.0372757790290868,2.11852770881649e-08,-18.8458803234403,-24.563629056296,-12.6947511116048,"ln_renda_mensal_real"
"pardo_formal_publico","pardo vs. branco, formal, público","factor(raca_grupo)pardo + formal:factor(raca_grupo)pardo + factor(raca_grupo)pardo:setor_publico",-0.185546328045641,0.0297653894365908,4.55758319972688e-10,-16.9349647717931,-21.6423428059208,-11.9447884924179,"ln_renda_mensal_real"
"pardo_diferenca_publico_privado","Diferença do gap de pardo (público - privado)","factor(raca_grupo)pardo:setor_publico",-0.133524395030273,0.0269784885193894,7.44842471922524e-07,-12.4993877083609,-17.0060300908942,-7.74803085336301,"ln_renda_mensal_real"
"indigena_informal_privado","indigena vs. branco, informal, privado/doméstico","factor(raca_grupo)indigena",-0.0827706265106289,0.05764629365512,0.151048999389326,-7.94377244130913,-17.7788289779403,3.06772485718836,"ln_renda_mensal_real"
"indigena_formal_privado","indigena vs. branco, formal, privado/doméstico","factor(raca_grupo)indigena + formal:factor(raca_grupo)indigena",-0.0593637791991812,0.034121012391656,0.0818939271060395,-5.76361055873157,-11.859756461138,0.75417015396495,"ln_renda_mensal_real"
"indigena_informal_publico","indigena vs. branco, informal, público","factor(raca_grupo)indigena + factor(raca_grupo)indigena:setor_publico",-0.333841171234975,0.0622012231622342,8.00056674243876e-08,-28.3832478802598,-36.6031219983113,-19.0976062883775,"ln_renda_mensal_real"
"indigena_formal_publico","indigena vs. branco, formal, público","factor(raca_grupo)indigena + formal:factor(raca_grupo)indigena + factor(raca_grupo)indigena:setor_publico",-0.310434323923527,0.0502261067254533,6.38032959798807e-10,-26.6871528167735,-33.5604379618956,-19.1028146900099,"ln_renda_mensal_real"
"indigena_diferenca_publico_privado","Diferença do gap de indigena (público - privado)","factor(raca_grupo)indigena:setor_publico",-0.251070544724346,0.0490330730573397,3.04835589215458e-07,-22.2032511878888,-29.3318611852325,-14.3555465412941,"ln_renda_mensal_real"
"preto_informal_privado","preto vs. branco, informal, privado/doméstico","factor(raca_grupo)preto",-0.0173752023964863,0.0369741125271205,0.638405847388547,-1.72251240383801,-8.59266535126034,5.66399956118782,"ln_renda_hora_real"
"preto_formal_privado","preto vs. branco, formal, privado/doméstico","factor(raca_grupo)preto + formal:factor(raca_grupo)preto",-0.0347859657903299,0.0295347350407232,0.238876958119516,-3.41878890312312,-8.85094445556022,2.3371035632032,"ln_renda_hora_real"
"preto_informal_publico","preto vs. branco, informal, público","factor(raca_grupo)preto + factor(raca_grupo)preto:setor_publico",-0.220801117676224,0.0532553955771323,3.38216054243112e-05,-19.8123856576745,-27.7603912600302,-10.9899180509292,"ln_renda_hora_real"
"preto_formal_publico","preto vs. branco, formal, público","factor(raca_grupo)preto + formal:factor(raca_grupo)preto + factor(raca_grupo)preto:setor_publico",-0.238211881070068,0.04461488689036,9.33105723799343e-08,-21.1964296444475,-27.794723379632,-13.9951677848601,"ln_renda_hora_real"
"preto_diferenca_publico_privado","Diferença do gap de preto (público - privado)","factor(raca_grupo)preto:setor_publico",-0.203425915279738,0.042304084549336,1.51946175597217e-06,-18.4069349922443,-24.8994212605305,-11.3531697211676,"ln_renda_hora_real"
"pardo_informal_privado","pardo vs. branco, informal, privado/doméstico","factor(raca_grupo)pardo",-0.0460452374354003,0.0271554195321197,0.08995811214691,-4.50012404811582,-9.45016824714826,0.720521841698929,"ln_renda_hora_real"
"pardo_formal_privado","pardo vs. branco, formal, privado/doméstico","factor(raca_grupo)pardo + formal:factor(raca_grupo)pardo",-0.0477558778041228,0.0210509745517526,0.023293711407312,-4.66335034058057,-8.51688698253447,-0.647491449622695,"ln_renda_hora_real"
"pardo_informal_publico","pardo vs. branco, informal, público","factor(raca_grupo)pardo + factor(raca_grupo)pardo:setor_publico",-0.184470614605245,0.0370595507287425,6.43506588682285e-07,-16.8455625199903,-22.6714790509706,-10.5807225102029,"ln_renda_hora_real"
"pardo_formal_publico","pardo vs. branco, formal, público","factor(raca_grupo)pardo + formal:factor(raca_grupo)pardo + factor(raca_grupo)pardo:setor_publico",-0.186181254973968,0.0298469832697278,4.43602043986857e-10,-16.9876882599095,-21.7046007095105,-11.9866050511218,"ln_renda_hora_real"
"pardo_diferenca_publico_privado","Diferença do gap de pardo (público - privado)","factor(raca_grupo)pardo:setor_publico",-0.138425377169845,0.0274440256941451,4.56098124379523e-07,-12.9271774950728,-17.4871104210286,-8.11524771874241,"ln_renda_hora_real"
"indigena_informal_privado","indigena vs. branco, informal, privado/doméstico","factor(raca_grupo)indigena",-0.0547747405594819,0.0487473724215448,0.261163663980402,-5.33016233166389,-13.9567053721544,4.16126210546885,"ln_renda_hora_real"
"indigena_formal_privado","indigena vs. branco, formal, privado/doméstico","factor(raca_grupo)indigena + formal:factor(raca_grupo)indigena",-0.0829310579829961,0.03487802647978,0.0174188604598289,-7.95853997281686,-14.0403331519118,-1.44644954351676,"ln_renda_hora_real"
"indigena_informal_publico","indigena vs. branco, informal, público","factor(raca_grupo)indigena + factor(raca_grupo)indigena:setor_publico",-0.283276842127048,0.0639118467480953,9.32307091949802e-06,-24.6688789288324,-33.5382812352239,-14.6158434162183,"ln_renda_hora_real"
"indigena_formal_publico","indigena vs. branco, formal, público","factor(raca_grupo)indigena + formal:factor(raca_grupo)indigena + factor(raca_grupo)indigena:setor_publico",-0.311433159550562,0.0541268238733927,8.72761751757878e-09,-26.7603437415229,-34.1322824222816,-18.5633350278038,"ln_renda_hora_real"
